CODE_POSTAL,VILLE,PAYS,LAT,LON
95280,JUOY LE MOUTIER,FRANCE,49.015695,2.047209
64110,JURANCON,FRANCE,43.287723,-0.390892
,KARLSRUHE,ALLEMAGNE,49.0068901,8.4036527
29860,KERSAINT-PLABENNEC,FRANCE,48.472186,-4.373712
,KOLBUSZOWA,POLAND,50.24417,21.77627
,KORBA,TUNISIE,36.580109,10.862119
,KRIVYI RIH,UKRAINE,47.910483,33.391783
,KUALA LUMPUR,MALAISIE,3.139003,101.686855
17137,L HOUMEAU,FRANCE,46.192722,-1.186318
31240,L UNION,FRANCE,43.657315,1.483893
78720,LA CELLE LES BORDES,FRANCE,48.636718,1.952697
78170,LA CELLE ST CLOUD,FRANCE,48.849766,2.132504
60520,LA CHAPELLE EN SERVAL,FRANCE,49.1275959,2.53451
13600,LA CIOTAT,FRANCE,43.173653,5.605155
79260,LA CRECHE,FRANCE,46.362313,-0.300911
92088,LA DÉFENSE CEDEX,FRANCE,48.8897359,2.2418428
